file,label,total_imports,imp_crypto,imp_random,imp_file_ops,imp_volume_enum,imp_network_spread,imp_file_unlock,imp_process_enum,imp_shadow_service,imp_anti_analysis,indicative_category_count,static_crypto_libs
gawk.exe,benign,98,0,0,0,0,0,0,0,0,1,0,
GenValObj.exe,benign,186,3,1,5,0,0,0,0,3,2,1,
getmac.exe,benign,176,0,0,1,0,1,0,0,0,2,1,
gpresult.exe,benign,201,0,0,1,0,1,0,0,0,2,1,
gpscript.exe,benign,133,0,0,2,0,0,0,1,0,2,1,
gpupdate.exe,benign,121,0,0,0,0,0,0,2,0,2,1,
grep.exe,benign,73,0,0,0,0,0,0,0,0,1,0,
grpconv.exe,benign,74,0,0,0,0,0,0,0,0,1,0,
hdwwiz.exe,benign,30,0,0,0,0,0,0,0,0,1,0,
help.exe,benign,46,0,0,1,0,0,0,0,0,1,0,
HOSTNAME.EXE,benign,52,0,0,0,0,0,0,0,0,1,0,
hvax64.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
hvix64.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
hvsievaluator.exe,benign,144,0,0,0,0,0,0,0,0,2,0,
icacls.exe,benign,103,0,0,2,0,0,0,2,0,1,1,
icsunattend.exe,benign,45,0,0,0,0,0,0,0,0,1,0,
ie4uinit.exe,benign,336,7,2,6,0,0,0,1,1,2,2,
ie4ushowIE.exe,benign,220,6,1,6,0,0,0,1,1,2,2,
IESettingSync.exe,benign,278,0,0,4,1,0,0,4,1,2,2,boost
ieUnatt.exe,benign,103,0,0,0,0,0,0,0,0,2,0,
iexpress.exe,benign,160,0,0,3,0,0,0,0,0,1,0,
immersivetpmvscmgrsvr.exe,benign,176,3,0,0,0,0,0,0,0,2,1,
InfDefaultInstall.exe,benign,88,0,0,0,0,0,0,0,0,2,0,
InputSwitchToastHandler.exe,benign,127,0,0,0,0,0,0,0,0,2,0,
iotstartup.exe,benign,134,0,0,0,0,0,0,0,0,2,0,
ipconfig.exe,benign,111,0,0,0,0,0,0,0,0,1,0,
iscsicli.exe,benign,105,0,0,2,1,0,0,0,0,1,1,
iscsicpl.exe,benign,49,0,0,0,0,0,0,0,0,1,0,
ISM.exe,benign,77,0,0,0,0,0,0,0,0,2,0,
isoburn.exe,benign,136,0,0,0,1,0,0,0,0,2,1,
klist.exe,benign,97,0,0,1,0,0,0,1,0,1,1,
ksetup.exe,benign,103,0,0,1,0,0,0,0,0,1,0,
ktmutil.exe,benign,70,0,0,1,0,0,0,0,0,1,0,
la57setup.exe,benign,62,0,0,1,0,0,0,0,0,2,0,
label.exe,benign,81,0,0,0,0,0,0,0,0,1,0,
LanguageComponentsInstallerComHandler.exe,benign,100,0,0,0,0,0,0,0,0,2,0,
LaunchTM.exe,benign,37,0,0,0,0,0,0,0,0,1,0,
LaunchWinApp.exe,benign,109,0,0,0,0,0,0,0,0,3,0,
LegacyNetUXHost.exe,benign,153,0,0,1,0,0,0,0,0,2,0,
LicenseManagerShellext.exe,benign,97,0,0,1,0,0,0,0,0,2,0,
licensingdiag.exe,benign,155,0,0,5,0,0,0,0,1,2,0,
LicensingUI.exe,benign,101,0,0,0,0,0,0,0,0,1,0,
LiveCaptions.exe,benign,112,0,0,0,0,0,0,0,0,2,0,
Locator.exe,benign,29,0,0,0,0,0,0,0,0,1,0,
LockAppHost.exe,benign,122,0,0,0,0,0,0,0,0,2,0,
LockScreenContentServer.exe,benign,192,0,0,0,0,0,0,0,0,1,0,
lodctr.exe,benign,96,0,0,2,0,0,0,0,0,2,0,
logagent.exe,benign,218,0,0,1,0,0,0,1,0,2,1,
logman.exe,benign,154,0,0,5,0,0,0,1,0,1,1,
logoff.exe,benign,80,0,0,1,0,0,0,0,0,1,0,
LogonUI.exe,benign,90,0,0,0,0,0,0,0,0,2,0,
lpkinstall.exe,benign,74,0,0,0,0,0,0,0,0,1,0,
lpksetup.exe,benign,344,0,0,4,0,0,0,2,1,2,1,
lpremove.exe,benign,114,0,0,0,0,0,0,0,0,2,0,
LsaIso.exe,benign,293,8,2,0,0,0,0,0,0,2,1,
lsass.exe,benign,110,0,0,0,0,0,0,1,0,1,1,
Magnify.exe,benign,527,0,0,1,0,0,0,1,1,2,1,
makecab.exe,benign,96,0,0,2,0,0,0,0,0,1,0,
manage-bde.exe,benign,144,0,0,2,0,0,0,0,0,2,0,
mavinject.exe,benign,165,0,0,0,0,0,0,0,0,3,0,boost
mblctr.exe,benign,351,0,0,0,0,0,0,0,0,2,0,
MBR2GPT.EXE,benign,237,0,0,6,5,0,0,2,1,3,2,
mcbuilder.exe,benign,94,0,0,5,0,0,0,2,0,2,1,
MDEServer.exe,benign,181,0,0,1,0,0,0,0,0,2,0,
MDMAgent.exe,benign,163,0,0,0,0,0,0,0,0,2,0,
MDMAppInstaller.exe,benign,174,2,0,3,0,0,0,1,3,2,2,
MdmDiagnosticsTool.exe,benign,120,0,0,3,0,0,0,0,1,2,0,
MdRes.exe,benign,62,0,0,0,0,0,0,0,0,1,0,
MdSched.exe,benign,100,0,0,0,0,0,0,2,0,2,1,
mfpmp.exe,benign,101,0,0,0,0,0,0,0,0,2,0,
Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe,benign,103,0,0,0,0,0,0,0,0,2,0,
