task_id,n_shots,cells_changed,cells_usable,cell_change_fraction,pixel_change_fraction,visual_change,peak_shot,verdict,destroyed_decoy_files,agreement,first_shot,last_shot
456,60,66,66,1.0,0.8497,yes,0002.jpg,WEAK_VICTIM_ACTIVITY,2,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/456/shots/0001.jpg,/opt/CAPEv2/storage/analyses/456/shots/0060.jpg
457,45,10,66,0.1515,0.0485,yes,0015.jpg,TRUE_ENCRYPTION,0,agree,/opt/CAPEv2/storage/analyses/457/shots/0001.jpg,/opt/CAPEv2/storage/analyses/457/shots/0045.jpg
458,5,54,66,0.8182,0.6369,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/458/shots/0001.jpg,/opt/CAPEv2/storage/analyses/458/shots/0005.jpg
459,2,2,66,0.0303,0.0112,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/459/shots/0001.jpg,/opt/CAPEv2/storage/analyses/459/shots/0002.jpg
460,240,54,66,0.8182,0.6629,yes,0002.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/460/shots/0001.jpg,/opt/CAPEv2/storage/analyses/460/shots/0240.jpg
461,8,66,66,1.0,0.9846,yes,0007.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/461/shots/0001.jpg,/opt/CAPEv2/storage/analyses/461/shots/0008.jpg
462,3,10,66,0.1515,0.0797,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/462/shots/0001.jpg,/opt/CAPEv2/storage/analyses/462/shots/0003.jpg
463,5,10,66,0.1515,0.0755,yes,0004.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/463/shots/0001.jpg,/opt/CAPEv2/storage/analyses/463/shots/0005.jpg
464,46,41,66,0.6212,0.1779,yes,0020.jpg,TRUE_ENCRYPTION,126,agree,/opt/CAPEv2/storage/analyses/464/shots/0001.jpg,/opt/CAPEv2/storage/analyses/464/shots/0046.jpg
465,1,,,,,unknown,,FAILED,0,,/opt/CAPEv2/storage/analyses/465/shots/0001.jpg,
